date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-6-9,9:46:49,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,0,4,choice,risky,,0,,,433,37066,0
2021-6-9,9:46:50,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,4,0,4,info-sharing,,1,0,0,100,0,38182,0
2021-6-9,9:46:54,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,0,4,choice,sure,,147,,,510,42195,0
2021-6-9,9:46:55,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,4,0,4,info-sharing,,2,147,0,11,147,43676,0
2021-6-9,9:47:16,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,1,1,choice,sure,,154,,,517,9848,0
2021-6-9,9:47:18,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,1,1,info-sharing,,2,154,0,83,154,11917,0
2021-6-9,9:47:20,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,1,1,choice,risky,,596,,,1029,13415,0
2021-6-9,9:47:21,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,1,1,info-sharing,,1,596,1,98,498,14489,0
2021-6-9,9:47:23,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,1,1,choice,risky,,47,,,564,17242,0
2021-6-9,9:47:26,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,2,1,1,info-sharing,,1,47,1,22,25,19339,0
2021-6-9,9:47:27,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,1,1,choice,risky,,62,,,993,20341,0
2021-6-9,9:47:29,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,2,1,1,info-sharing,,1,62,0,39,62,22433,0
2021-6-9,9:47:30,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,3,1,1,choice,sure,,149,,,1142,23868,0
