date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-19,10:28:58,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,28,0,4,info-sharing,,1,166,0,20,166,184459,0
2021-11-19,10:28:59,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,28,0,4,info-sharing,,1,117,1,20,97,184778,0
2021-11-19,10:28:59,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,28,0,4,info-sharing,,1,168,0,20,168,184962,0
2021-11-19,10:29:0,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,29,0,4,choice,sure,,116,,20,3213,186342,0
2021-11-19,10:29:1,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,29,0,4,choice,risky,,167,,20,3010,187064,0
2021-11-19,10:29:1,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,29,0,4,choice,sure,,117,,20,3246,187228,0
2021-11-19,10:29:1,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,29,0,4,choice,sure,,115,,20,2498,187237,0
2021-11-19,10:29:2,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,29,0,4,info-sharing,,2,116,0,20,116,188067,0
2021-11-19,10:29:3,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,29,0,4,info-sharing,,1,167,0,20,167,189028,0
2021-11-19,10:29:3,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,29,0,4,info-sharing,,1,117,1,20,97,189572,0
2021-11-19,10:29:3,5e504cc583c96c0962356a59,,,1,4,RMOMmCT_session_111907,0icdhhqBls_7zGESAAAs,5,29,0,4,info-sharing,,1,115,1,20,95,189585,0
2021-11-19,10:29:5,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,30,0,4,choice,risky,,166,,20,3392,191492,0
2021-11-19,10:29:5,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,30,0,4,choice,risky,,167,,20,3380,191537,0
2021-11-19,10:29:5,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,30,0,4,choice,sure,,117,,20,3127,191541,0
2021-11-19,10:29:7,5dd11ee349f6071aef4519bb,,,1,4,RMOMmCT_session_111907,4Hi8_gbx13dIoUnMAAAq,4,30,0,4,info-sharing,,2,166,1,20,146,193343,0
2021-11-19,10:29:7,607165c4d9ee4d7b0388c438,,,1,4,RMOMmCT_session_111907,taNhsyES4uMRsezFAAAm,2,30,0,4,info-sharing,,2,117,0,20,117,193491,0
2021-11-19,10:29:7,5f0018ce21287311abc2ceea,,,1,4,RMOMmCT_session_111907,BEF8tVKHJA8tZOvPAAAo,1,30,0,4,info-sharing,,1,167,0,20,167,193557,0
